id,"Alkalinity, total",Calcium,Chloride,Fluoride,Magnesium,Nitrate as N,Sodium,Specific Conductivity,Sulfate,Total Dissolved Solids
6436,200.0,52.0,38.0,0.44,14.0,4.3,48.0,721.0,51.0,470.0
6437,240.0,69.0,21.0,0.19,32.0,6.3,30.0,1000.0,18.0,350.0
6438,32.71,7.0,0.46,0.09,0.1,0.0411,7.8,66.0,1.46,41.0
6439,490.0,86.0,150.0,0.74,110.0,8.1,230.0,2100.0,86.0,1000.0
6440,80.0,29.0,5.0,0.1,12.0,2.1,20.0,336.0,14.0,250.0
6441,230.0,57.0,53.0,0.12,36.0,1.5,20.0,590.0,41.0,370.0
6442,110.0,15.0,22.0,0.21,12.0,1.5,34.0,350.0,7.8,250.0
6443,110.0,31.0,15.0,0.3,6.6,4.3,19.0,300.0,19.0,220.0
6444,160.0,34.0,30.0,0.1,27.0,0.99,23.0,500.0,39.0,320.0
6445,126.0,56.0,199.0,0.2,18.0,0.944,109.8,918.0,34.9,557.0
6446,130.0,33.0,7.4,0.2,5.0,0.7,24.0,300.0,12.0,190.0
6447,64.0,21.0,3.0,0.23,4.7,0.59,79.0,490.0,170.0,320.0
6448,210.0,46.0,14.0,0.23,18.0,0.75,17.0,400.0,3.3,140.0
6449,190.0,24.0,37.0,0.27,21.0,0.47,110.0,680.0,67.0,300.0
6450,207.0,99.0,65.9,0.47,17.7,2.91,41.9,790.0,122.0,480.0
6451,170.0,55.0,9.0,0.19,10.0,7.0,26.0,410.0,33.0,280.0
6452,280.0,68.0,43.0,0.12,27.0,2.5,22.0,560.0,30.0,380.0
6453,180.0,48.0,26.0,0.2,20.0,3.95,20.0,536.0,26.5,370.0
6454,160.0,31.0,11.0,0.16,22.0,3.8371,15.0,380.0,11.0,250.0
6455,190.0,53.0,34.0,0.58,11.0,4.7,44.0,600.0,48.0,330.0
6456,340.0,160.0,39.0,0.36,45.0,5.5,20.0,1000.0,170.0,690.0
6457,72.0,46.0,2.6,0.31,8.3,0.4,49.0,530.0,190.0,280.0
6458,190.0,49.0,10.0,0.3,14.0,8.9,35.0,461.0,15.0,340.0
6459,110.0,32.0,28.0,0.69,4.7,0.17,50.0,443.0,56.0,270.0
6460,150.0,71.0,55.0,0.22,12.0,1.3,21.0,540.0,32.0,320.0
6461,240.0,130.0,40.0,0.84,23.0,0.88,64.0,972.0,160.0,680.0
6462,180.0,43.0,15.0,0.23,19.0,0.27,20.0,460.0,37.0,280.0
6463,68.0,18.0,20.0,0.1,4.0,0.81,18.0,220.0,2.4,170.0
6464,170.0,62.0,35.0,0.16,17.0,2.9,23.0,560.0,42.0,340.0
6465,238.0,76.0,15.0,0.2,18.0,0.1,14.0,556.0,34.0,349.0
6466,63.0,9.5,6.5,0.12,16.0,0.84,8.7,150.0,3.4,140.0
6467,170.0,58.9,22.0,0.32,11.1,1.9,14.0,460.0,27.0,260.0
6468,80.0,20.0,61.0,0.11,11.0,3.8,49.0,450.0,29.0,290.0
6469,77.0,11.0,40.0,0.14,7.8,1.7,34.0,290.0,4.9,190.0
6470,190.0,92.0,46.0,0.46,22.0,2.2,44.0,740.0,110.0,470.0
6471,270.0,68.0,23.0,0.2,28.0,2.9,28.0,610.0,19.0,346.0
6472,174.0,32.7,46.1,0.2,29.5,1.88,18.5,487.0,11.0,288.0
6473,110.0,18.0,86.0,0.11,14.0,2.4,56.0,560.0,16.0,330.0
6474,120.0,71.0,42.0,0.15,16.0,4.3,24.0,610.0,36.0,350.0
6475,330.0,73.0,110.0,0.09,27.0,6.8,72.0,1040.0,20.0,600.0
6476,90.0,19.0,1.1,0.12,8.0,0.14,6.4,170.0,0.8,120.0
6477,237.0,124.0,94.0,0.27,28.7,5.2,51.9,986.0,140.0,620.0
6478,130.0,29.0,8.5,0.11,14.0,6.531,13.7,380.0,20.0,260.0
6479,140.0,83.0,24.0,0.15,4.4,2.7,36.0,567.0,30.0,470.0
6480,160.0,39.0,13.0,0.4,13.0,2.0,19.0,360.0,11.0,220.0
6481,72.0,22.0,21.0,0.1,0.97,0.75,33.0,256.0,20.0,170.0
6482,210.0,28.0,9.8,0.32,28.0,1.55,55.0,500.0,34.0,280.0
6483,137.0,29.0,16.0,0.2,24.0,0.1,21.0,380.0,33.0,300.0
6484,180.0,9.8,22.0,0.36,9.4,0.95,73.0,460.0,21.0,260.0
6485,160.0,57.0,83.71,0.33,19.0,12.774,58.0,715.0,26.0,430.0
6486,94.0,21.0,88.0,0.64,10.0,1.0,64.0,513.0,8.0,305.0
6487,160.0,3.2,25.0,0.2,0.17,4.5,120.0,460.0,42.0,230.0
6488,160.0,72.5,74.0,0.1,28.0,1.7,66.0,888.0,183.0,590.0
6489,300.0,73.0,52.0,0.14,49.0,3.9,33.0,870.0,75.0,500.0
6490,191.0,56.4,52.1,0.16,11.7,0.407,45.6,713.0,50.3,335.0
6491,40.0,2.7,4.5,0.1,1.2,0.71,11.0,130.0,0.5,110.0
6492,120.0,16.0,7.3,0.12,24.0,1.0,8.4,270.0,7.1,220.0
6493,130.0,43.0,2.52,0.147,7.29,0.454,25.3,360.0,38.6,202.0
6494,260.0,70.0,35.0,0.1,30.0,7.9,54.0,801.0,28.0,440.0
6495,340.0,80.0,480.0,0.2,35.0,0.81,293.0,2190.0,74.0,1240.0
6496,360.0,64.0,110.0,0.43,42.0,0.5,310.0,1600.0,280.0,940.0
6497,85.0,5.7,5.4,0.4,3.1,0.34,40.0,270.0,9.7,140.0
6498,200.0,45.0,21.0,0.11,12.0,0.74,47.0,490.0,39.0,280.0
6499,100.0,49.0,280.0,1.5,20.0,1.5,230.0,1600.0,220.0,930.0
6500,340.0,100.0,104.0,0.2,63.0,0.47,89.0,1340.0,220.0,860.0
6501,160.0,22.0,26.0,0.13,22.0,9.3,31.0,520.0,23.0,370.0
6502,183.0,36.0,45.0,0.18,17.0,0.9,42.0,600.0,7.0,320.0
6503,170.0,100.0,33.0,0.18,17.0,9.9,16.0,720.0,78.0,380.0
6504,150.0,93.0,130.0,0.2,19.0,18.0,85.0,1100.0,110.0,660.0
6505,421.0,54.0,298.0,0.28,127.0,1.5,137.0,840.0,26.8,1100.0
6506,54.0,9.6,13.0,0.2,5.7,2.5,11.0,180.0,2.4,180.0
6507,190.0,70.0,14.0,0.25,32.0,9.4,20.0,560.0,63.0,490.0
6508,200.0,41.0,19.0,0.16,23.0,0.13,23.0,460.0,26.0,280.0
6509,252.0,63.0,49.0,0.3,16.0,0.1,87.0,758.0,70.0,494.0
6510,90.0,11.0,6.0,0.26,4.0,0.72,22.0,202.0,2.0,140.0
6511,180.0,36.0,36.0,0.24,19.0,3.4,36.0,540.0,9.3,350.0
6512,180.0,62.0,4.6,1.8,16.0,0.42,30.0,520.0,77.0,320.0
6513,130.0,18.0,4.8,0.4,9.6,0.43,22.0,300.0,5.1,160.0
6514,130.0,45.0,17.0,0.23,7.0,3.652,24.0,380.0,31.0,300.0
6515,189.0,100.0,115.0,0.43,21.4,2.0,93.3,1100.0,163.0,636.0
6516,160.0,42.0,8.0,0.21,7.1,3.0,18.0,320.0,13.0,200.0
6517,94.0,16.0,11.0,0.38,2.9,0.4,39.0,240.0,22.0,140.0
6518,120.0,33.0,16.0,0.84,10.0,6.3,32.0,410.0,34.0,260.0
6519,150.0,24.0,77.0,0.31,26.0,5.1,54.0,600.0,37.0,510.0
6520,110.0,30.0,26.0,0.2,11.0,5.5,12.0,390.0,15.0,180.0
6521,230.0,70.0,93.0,0.1,24.0,4.4,62.0,590.0,30.0,490.0
6522,210.0,47.0,70.0,0.34,23.0,0.51,51.0,630.0,22.0,370.0
6523,100.0,16.0,4.2,0.18,14.0,1.8,16.0,240.0,6.7,190.0
6524,280.0,84.0,7.0,0.1,33.0,1.6,14.0,630.0,53.0,435.0
6525,49.0,44.0,31.0,0.25,11.0,4.0,38.0,290.0,86.0,220.0
6526,150.0,37.0,26.0,0.13,6.7,0.84,55.0,465.0,38.0,300.0
6527,140.0,37.0,8.1,0.1,4.8,2.1,16.0,322.0,7.9,219.0
6528,120.0,26.0,9.2,0.21,6.6,4.61,20.0,330.0,10.0,230.0
6529,150.0,42.1,12.0,1.4,12.0,1.5,12.0,350.0,17.0,210.0
6530,180.0,48.0,89.0,0.15,18.0,2.2,97.0,920.0,110.0,520.0
6531,700.0,59.0,24.0,0.35,44.0,0.5,330.0,650.0,32.0,370.0
6532,180.0,57.9,20.5,0.291,18.4,6.15,23.8,460.0,34.7,341.0
6533,120.0,19.0,84.0,1.2,3.4,1.2,98.0,650.0,39.0,360.0
6534,110.0,26.0,5.0,0.13,16.0,1.6,18.0,350.0,17.0,250.0
6535,170.0,54.0,28.0,0.48,13.0,2.9,20.0,460.0,33.0,290.0
6536,120.0,150.0,230.0,0.33,50.0,3.7,67.0,1600.0,150.0,1100.0
6537,230.0,97.8,115.0,0.5,24.5,3.09,102.0,1010.0,139.0,674.0
6538,68.6,22.5,61.2,0.2,14.3,10.0,42.6,450.0,13.2,310.0
6539,160.0,80.0,35.0,0.24,12.0,0.61,50.0,640.0,120.0,440.0
6540,160.0,48.0,54.0,0.26,34.0,4.1,55.0,730.0,80.0,460.0
6541,150.0,53.53,80.0,0.17,12.0,0.66,87.0,760.0,93.0,450.0
6542,180.0,5.3,56.0,9.9,2.8,0.9,160.0,810.0,89.0,390.0
6543,210.0,54.0,83.0,0.21,29.0,2.9,57.0,720.0,25.0,440.0
6544,120.0,63.0,88.0,0.16,32.0,2.0,140.0,1300.0,280.0,600.0
6545,249.0,213.0,57.0,0.3,34.0,2.3,31.0,1100.0,421.0,950.0
6546,80.0,22.0,42.0,1.0,5.0,1.6,84.0,554.0,100.0,350.0
6547,470.0,100.0,20.0,0.69,40.0,0.83,88.0,1000.0,67.0,630.0
6548,107.0,35.0,101.0,0.1,16.3,0.1,59.0,612.0,11.8,387.0
6549,200.0,54.0,41.0,0.11,13.0,5.0,46.0,580.0,24.0,360.0
6550,140.0,39.0,14.0,0.13,6.0,1.4,20.0,320.0,7.2,210.0
6551,204.0,29.2,18.1,0.232,3.0,0.9,10.2,518.0,6.27,250.0
6552,130.0,30.0,18.0,0.44,11.0,0.59,29.0,340.0,17.0,210.0
6553,230.0,82.0,51.0,0.18,37.0,2.4,74.0,1100.0,240.0,770.0
6554,100.0,19.0,6.8,0.11,6.2,2.3,23.0,260.0,13.0,220.0
6555,180.0,46.0,26.0,0.2,5.9,0.32,46.0,450.0,16.0,270.0
6556,97.0,17.3,5.2,0.1,10.4,0.83,10.5,214.0,8.07,146.0
6557,130.0,27.0,10.0,0.69,6.8,0.57,27.0,340.0,22.0,210.0
6558,111.0,59.4,61.3,0.55,11.7,3.73,67.1,675.0,116.0,424.0
6559,190.0,74.0,17.0,0.11,4.5,0.47,14.0,380.0,6.4,200.0
6560,120.0,35.0,20.0,0.66,6.3,0.51,78.0,580.0,130.0,380.0
6561,96.0,37.0,47.0,0.44,16.0,2.1,39.0,490.0,51.0,310.0
6562,145.0,19.0,20.0,0.16,19.0,0.86,11.0,400.0,5.7,225.0
6563,190.0,35.0,84.0,0.2,14.0,1.9,82.0,660.0,11.0,380.0
6564,141.0,41.0,33.0,0.23,12.0,2.5,28.0,570.0,22.0,265.0
6565,120.0,37.0,13.0,0.098,6.0,1.9,22.0,300.0,22.0,250.0
6566,74.0,46.0,60.0,0.32,4.0,5.6,61.0,580.0,100.0,380.0
6567,110.0,51.0,22.0,0.24,4.6,7.7,30.0,420.0,39.0,270.0
6568,127.0,23.0,29.0,0.2,13.0,0.7,14.0,380.0,12.0,136.0
6569,130.0,49.0,110.0,0.59,18.0,1.6,56.0,710.0,34.0,400.0
6570,49.0,14.0,46.0,0.29,5.7,3.6,33.0,280.0,62.0,250.0
6571,170.0,71.3,27.0,0.17,15.9,17.0,21.0,620.0,32.0,420.0
6572,257.9,46.2,164.0,0.39,44.0,4.3,150.0,1240.0,153.0,766.0
6573,180.0,100.0,44.0,0.11,14.0,17.0,31.0,840.0,52.0,540.0
6574,75.0,25.0,19.0,0.13,2.6,0.56,20.0,250.0,18.0,160.0
6575,100.0,14.0,8.3,0.2,8.4,0.5,22.0,250.0,12.0,120.0
6576,307.0,68.2,526.0,0.31,35.0,0.5,360.0,2300.0,122.0,1300.0
6577,264.0,92.1,85.6,0.269,34.9,9.24,49.6,971.0,134.0,641.0
6578,110.0,26.0,27.0,0.21,14.0,0.43,35.0,340.0,50.0,290.0
6579,80.0,48.0,57.0,0.14,22.0,7.2,47.0,690.0,130.0,440.0
6580,190.0,48.0,7.8,0.22,15.0,1.8,15.0,350.0,15.0,230.0
6581,130.0,20.0,14.0,0.51,2.2,1.0,59.0,360.0,32.0,230.0
6582,88.0,18.0,6.9,0.14,8.6,3.8,15.0,340.0,7.9,250.0
6583,150.0,78.0,25.0,0.24,16.0,7.0,22.0,620.0,110.0,500.0
6584,95.0,17.0,7.4,0.13,10.0,2.1,14.0,240.0,7.4,180.0
6585,150.0,54.0,10.0,0.59,7.6,2.7,40.0,457.0,58.0,310.0
6586,139.0,12.0,55.0,0.2,10.0,2.0,71.0,630.0,9.0,286.0
6587,250.0,65.0,15.0,0.54,18.0,2.0,43.0,690.0,71.0,410.0
6588,130.0,52.0,22.0,0.32,11.0,0.49,20.0,420.0,42.0,250.0
6589,87.0,26.0,9.1,1.8,4.8,1.5,30.0,430.0,16.0,170.0
6590,230.0,101.0,71.0,0.53,30.0,8.4,42.0,910.0,110.0,620.0
6591,191.0,31.0,74.0,0.17,4.9,23.9,80.3,930.0,72.0,650.0
6592,160.0,51.0,32.0,0.3,6.5,0.5,56.0,570.0,58.0,360.0
6593,180.0,63.0,37.0,0.19,22.0,7.5,30.0,622.0,58.0,430.0
6594,160.0,47.0,63.0,0.6,15.0,9.33,54.0,633.0,40.0,380.0
6595,160.0,49.0,19.0,0.36,28.0,0.7,27.0,520.0,76.0,410.0
6596,160.0,52.0,15.7,0.92,17.0,7.0,25.0,500.0,27.0,320.0
6597,230.0,110.0,119.0,0.4,25.0,2.5,89.0,920.0,174.0,780.0
6598,86.0,16.0,4.9,0.14,8.2,1.6,11.0,170.0,3.1,160.0
6599,73.0,3.6,6.6,0.8,0.2,0.1,36.0,187.0,6.7,150.0
6600,160.0,32.0,8.2,0.12,19.0,2.1,17.0,220.0,14.0,200.0
6601,70.0,9.4,11.0,1.1,0.788,0.95,54.0,320.0,31.0,190.0
6602,210.0,89.4,22.3,0.274,24.8,3.12,29.0,716.0,122.0,577.0
6603,307.0,65.0,57.8,0.233,41.0,2.39,18.5,743.0,14.0,470.0
6604,230.0,95.0,35.0,0.17,19.0,11.0,16.0,700.0,57.0,460.0
6605,76.0,38.0,300.0,1.0,1.3,1.4,260.0,1400.0,91.0,760.0
6606,120.0,25.0,7.0,0.14,11.0,1.2,15.0,300.0,6.0,230.0
6607,200.0,94.0,58.0,0.33,14.0,1.0,38.0,790.0,72.0,410.0
6608,96.0,15.0,3.4,0.1,5.1,0.82,11.0,160.0,2.8,140.0
6609,190.0,73.0,9.5,0.34,15.0,5.2,16.0,540.0,51.0,320.0
6610,200.0,31.0,12.0,0.12,26.0,0.61,15.0,450.0,7.9,270.0
6611,190.0,17.0,6.8,0.14,23.0,0.75,28.0,380.0,8.8,230.0
6612,350.0,110.0,39.0,1.3,51.0,3.4,110.0,1270.0,230.0,860.0
6613,140.0,30.0,11.0,0.11,16.0,1.69,15.0,320.0,16.0,240.0
6614,190.0,86.0,55.0,0.16,19.0,4.3,23.0,620.0,46.0,400.0
6615,190.0,120.0,40.0,0.4,23.0,20.0,41.0,880.0,110.0,580.0
6616,217.0,141.0,102.0,0.42,27.3,4.7,58.8,1190.0,211.0,748.0
6617,110.0,23.0,9.3,0.6,5.0,0.52,30.0,300.0,20.0,83.0
6618,150.0,74.0,91.0,0.38,16.0,2.5,74.0,840.0,120.0,510.0
6619,130.0,44.0,188.4,0.15,17.0,1.16,98.5,951.0,16.9,452.0
6620,100.0,61.0,16.0,0.15,7.0,5.0,23.0,280.0,33.0,170.0
6621,180.0,91.0,19.0,0.16,12.0,0.6,21.0,550.0,120.0,390.0
6622,110.0,34.0,34.0,0.14,4.8,3.8,39.0,392.0,21.0,240.0
6623,210.0,70.0,47.0,0.4,13.0,0.61,50.0,640.0,52.0,370.0
6624,180.0,52.0,38.0,0.27,29.0,0.32,55.0,660.0,130.0,440.0
6625,160.0,25.0,8.16,0.265,28.0,2.9656,16.0,390.0,17.0,240.0
6626,320.0,94.0,91.0,0.11,42.0,2.4,54.0,1000.0,68.0,590.0
6627,140.0,33.0,30.0,2.9,5.1,0.54,47.0,420.0,13.0,300.0
6628,330.0,170.0,38.0,0.36,50.0,4.5,22.0,1100.0,250.0,670.0
6629,180.0,72.9,100.0,0.34,18.2,0.93,88.0,920.0,130.0,570.0
6630,140.0,30.0,10.0,0.11,15.0,3.2,18.0,460.0,25.0,250.0
6631,200.0,130.0,48.0,0.7,46.0,1.0,95.0,1260.0,430.0,1000.0
6632,76.0,29.0,16.0,0.096,4.8,0.9793,20.0,254.0,16.0,180.0
6633,120.0,54.0,50.0,0.38,10.0,3.5,58.0,640.0,89.0,260.0
6634,100.0,17.0,31.0,0.1,10.0,0.32,27.0,260.0,2.5,220.0
6635,140.0,37.0,44.0,0.12,29.0,7.2,18.0,480.0,12.0,350.0
6636,72.0,26.0,17.0,0.46,7.3,1.5,18.0,310.0,34.0,160.0
6637,59.0,7.9,44.0,0.13,1.2,1.1,48.0,280.0,4.7,100.0
6638,430.0,26.0,120.0,0.39,23.0,0.63,220.0,1200.0,120.0,850.0
6639,310.0,170.0,110.0,0.1,39.0,47.4,58.0,1500.0,44.0,935.0
6640,140.0,50.0,38.0,0.71,10.0,3.4,62.0,590.0,86.0,380.0
6641,220.0,12.0,18.0,1.54,3.0,0.5,151.0,721.0,128.0,440.0
6642,170.0,45.0,11.0,0.1,9.5,5.88,27.0,400.0,16.0,260.0
6643,230.0,23.0,82.0,0.379,23.0,1.4,110.0,890.0,39.0,400.0
6644,100.0,29.0,16.0,2.0,7.6,1.2,71.0,350.0,42.0,240.0
6645,170.0,48.0,31.0,0.12,15.0,2.5,52.0,489.0,19.0,330.0
6646,99.0,32.0,13.0,0.1,4.8,0.64,23.0,287.0,15.0,180.0
6647,110.0,24.0,33.0,0.17,9.9,1.3,29.0,340.0,14.0,200.0
6648,380.0,70.0,40.0,0.33,52.0,0.8,68.0,920.0,61.0,560.0
6649,95.0,34.0,99.0,0.62,13.0,0.95,89.0,790.0,100.0,510.0
6650,290.0,69.0,37.0,0.17,49.0,0.52,41.0,830.0,80.0,490.0
6651,192.0,40.0,82.0,0.2,20.0,0.7,61.0,590.0,12.0,383.0
6652,100.0,33.0,12.0,0.14,4.6,1.1,21.0,300.0,19.0,180.0
6653,230.0,92.0,17.0,1.1,20.0,1.2,33.0,700.0,120.0,480.0
6654,100.0,35.0,60.0,0.31,12.0,5.5,31.0,420.0,7.5,280.0
6655,81.0,17.0,10.2,0.14,4.1,2.65,19.0,229.0,3.7,150.0
6656,120.0,33.0,7.7,0.54,6.3,1.3,20.0,320.0,23.0,200.0
6657,62.2,15.9,8.63,0.107,2.75,0.145,16.8,184.0,17.8,113.0
6658,67.0,20.0,47.0,0.13,13.0,8.1,35.0,360.0,12.0,285.0
6659,200.0,100.0,22.0,0.27,21.0,7.0,14.0,590.0,53.0,380.0
6660,100.0,22.0,5.6,0.12,12.0,2.6,15.0,270.0,10.0,200.0
6661,170.0,75.0,28.0,0.37,14.0,3.5,22.0,610.0,69.0,380.0
6662,120.0,18.0,9.4,0.2,13.0,0.65,18.0,240.0,1.6,190.0
6663,290.0,32.0,55.0,0.25,51.0,1.0,80.0,840.0,49.0,490.0
6664,150.0,9.6,27.0,0.6,2.7,0.68,86.0,390.0,11.0,240.0
6665,200.0,100.0,130.0,0.4,23.0,2.5,140.0,1300.0,240.0,770.0
6666,190.0,65.3,16.0,0.2,13.4,6.3,17.0,510.0,34.0,290.0
6667,180.0,43.0,14.0,0.15,16.0,1.7,32.0,440.0,15.0,270.0
6668,140.0,47.0,4.9,0.3,9.1,2.8,11.0,340.0,18.0,210.0
6669,120.0,22.0,6.5,0.16,15.0,0.79,14.0,300.0,18.1,160.0
6670,210.0,40.0,20.0,0.19,26.0,0.1,31.0,550.0,60.0,340.0
6671,180.0,51.5,27.0,0.32,14.1,2.38,32.7,600.0,79.6,384.0
6672,260.0,84.0,190.0,0.21,44.0,1.8,68.0,770.0,28.0,550.0
6673,220.0,139.0,60.0,0.6,52.0,5.4,102.0,1410.0,416.0,1000.0
6674,150.0,32.0,14.0,0.2,8.7,7.3,45.0,520.0,54.0,340.0
6675,180.0,34.0,21.0,0.1,25.0,2.7,23.0,420.0,6.9,270.0
6676,160.0,55.0,90.0,0.4,22.0,0.5,99.0,960.0,170.0,620.0
6677,220.0,59.0,55.0,0.37,19.0,13.0,44.0,700.0,29.0,440.0
6678,130.0,33.0,9.0,0.11,14.0,4.7,12.0,320.0,5.6,240.0
6679,81.0,200.0,290.0,0.1,19.0,1.4,51.0,1500.0,200.0,1000.0
6680,150.0,57.0,14.0,0.11,5.8,1.919,26.0,431.0,26.0,240.0
6681,98.0,43.0,180.0,0.14,19.0,0.34,21.0,380.0,2.4,410.0
6682,66.0,14.0,37.0,0.1,8.7,0.78,24.0,260.0,5.6,140.0
6683,280.0,81.0,35.0,0.17,51.0,1.9,39.0,840.0,150.0,560.0
6684,120.0,22.0,40.0,0.25,16.0,1.5,37.0,410.0,8.1,270.0
6685,120.0,31.0,32.0,0.4,15.0,0.54,47.0,460.0,68.0,300.0
6686,230.0,41.0,11.0,0.32,20.0,2.51,39.0,550.0,40.0,350.0
6687,100.0,27.0,6.5,0.55,4.5,0.88,25.0,270.0,18.0,160.0
6688,270.0,46.7,13.0,0.76,13.5,2.3,67.2,620.0,33.0,440.0
6689,45.0,40.0,11.0,0.7,5.2,2.6,100.0,960.0,100.0,740.0
6690,190.0,47.7,10.8,0.1,12.0,4.02,27.0,310.0,20.1,257.0
6691,260.0,77.0,9.5,0.62,21.0,0.93,22.0,580.0,43.0,340.0
6692,170.0,35.0,44.0,0.16,32.0,0.56,41.0,620.0,25.0,310.0
6693,125.0,28.0,7.7,0.14,17.0,1.86,14.4,317.0,14.5,197.0
6694,110.0,15.0,6.5,0.14,8.4,3.4,16.0,200.0,3.8,200.0
6695,92.0,13.0,8.0,0.54,1.4,1.9,41.0,240.0,8.3,130.0
6696,182.0,44.3,8.9,0.1,19.0,5.4,20.2,425.0,28.2,290.0
6697,277.0,61.0,119.0,0.52,26.0,0.1,96.0,890.0,43.0,588.0
6698,79.0,23.0,9.8,0.24,3.4,1.2,14.0,224.0,9.0,110.0
6699,160.0,56.0,56.0,0.2,18.0,1.8,47.0,590.0,87.0,470.0
6700,280.0,50.0,24.0,0.12,31.0,5.9,28.0,700.0,17.0,370.0
6701,160.0,63.0,46.0,0.12,23.0,2.1,20.0,520.0,49.0,310.0
6702,318.0,260.0,416.0,0.82,73.0,3.82,240.0,2920.0,590.0,500.0
6703,170.0,66.0,39.0,2.2,18.0,11.0,20.0,800.0,120.0,520.0
6704,160.0,45.0,2.6,0.1,8.0,0.47,11.0,345.0,7.8,220.0
6705,148.0,22.0,9.0,0.1,23.0,2.9,24.0,350.0,7.9,280.0
6706,120.0,26.0,20.0,0.49,13.0,0.75,54.0,320.0,19.0,190.0
6707,160.0,68.0,62.0,0.2,25.0,0.75,47.0,730.0,110.0,530.0
6708,76.1,26.4,7.95,0.147,3.16,0.225,13.4,199.0,11.3,122.0
6709,390.0,76.0,69.0,0.25,52.0,4.0,50.0,1100.0,62.0,540.0
6710,38.0,4.9,2.3,0.2,4.19,1.16,9.8,115.0,4.8,97.0
6711,160.0,23.0,24.0,1.7,13.0,1.4,120.0,780.0,190.0,490.0
6712,160.0,86.0,43.0,0.2,34.0,5.3,52.0,859.0,269.0,640.0
6713,176.0,83.8,93.7,0.48,16.7,2.8,77.7,550.0,96.4,400.0
6714,260.0,110.0,60.0,0.14,25.0,6.5974,29.0,780.0,38.0,480.0
6715,80.9,19.6,10.5,0.166,4.1,0.6,4.0,374.0,21.9,176.0
6716,180.0,110.0,79.0,0.5,38.0,2.85,61.0,1470.0,188.0,700.0
6717,88.4,21.3,28.3,0.59,5.7,0.5,46.4,384.0,49.1,206.0
6718,120.0,29.0,8.2,0.11,16.0,7.9,20.0,350.0,21.0,260.0
6719,158.0,41.0,41.0,0.4,16.0,0.6,55.0,540.0,65.0,392.0
